Odds Ratio,PPV,Youden's J Index
inf,0.5,0.9985652797704447
inf,0.9,0.9985652797704447
inf,0.8,0.9985652797704447
inf,0.95,0.9985652797704447
inf,0.99,0.9985652797704447
inf,0.4,0.9985652797704447
inf,0.6,0.9985652797704447
3.0,0.99,0.9952485301850384
1.8,0.99,0.9952485301850384
20.0,0.99,0.9952485301850384
100.0,0.99,0.9952485301850384
1.2,0.99,0.9952485301850384
50.0,0.99,0.9952485301850384
6.0,0.99,0.9952485301850384
12.0,0.99,0.9952485301850384
100.0,0.4,0.9767827529021559
100.0,0.8,0.9767827529021559
100.0,0.95,0.9767827529021559
100.0,0.6,0.9767827529021559
100.0,0.9,0.9767827529021559
100.0,0.5,0.9767827529021559
50.0,0.95,0.9651741293532339
1.8,0.95,0.9535655058043118
1.2,0.95,0.9535655058043118
6.0,0.95,0.9535655058043118
3.0,0.95,0.9535655058043118
20.0,0.95,0.9535655058043118
12.0,0.95,0.9535655058043118
50.0,0.9,0.9519071310116086
50.0,0.5,0.9519071310116086
50.0,0.8,0.9519071310116086
50.0,0.6,0.9519071310116086
50.0,0.4,0.9519071310116086
20.0,0.9,0.8905472636815921
20.0,0.6,0.8756218905472637
20.0,0.5,0.8756218905472637
20.0,0.4,0.8756218905472637
20.0,0.8,0.8756218905472637
12.0,0.9,0.791044776119403
12.0,0.8,0.7761194029850746
1.8,0.9,0.7296849087893864
6.0,0.9,0.7296849087893864
1.2,0.9,0.7296849087893864
3.0,0.9,0.7296849087893864
6.0,0.8,0.6318407960199005
1.8,0.8,0.5472636815920398
1.2,0.8,0.5472636815920398
3.0,0.8,0.5472636815920398
12.0,0.5,0.40796019900497515
12.0,0.6,0.40796019900497515
12.0,0.4,0.40796019900497515
6.0,0.6,0.09618573797678276
6.0,0.5,0.09618573797678276
6.0,0.4,0.09618573797678276
3.0,0.6,0.06135986733001664
3.0,0.4,0.06135986733001664
3.0,0.5,0.06135986733001664
1.8,0.6,0.0033167495854062867
1.2,0.6,0.0033167495854062867
1.8,0.4,0.0033167495854062867
1.8,0.5,0.0033167495854062867
1.2,0.4,0.0
1.2,0.5,0.0
