Odds Ratio,PPV,Youden's J Index
1.2,0.8,0.22695289166579702
1.8,0.8,0.22695289166579702
3.0,0.4,0.17644045163402328
3.0,0.8,0.17644045163402328
3.0,0.5,0.17644045163402328
3.0,0.6,0.17644045163402328
1.8,0.6,0.10861185494087111
1.8,0.4,0.10861185494087111
1.8,0.5,0.10861185494087111
1.2,0.6,0.0002700513097488866
1.2,0.4,0.0002700513097488866
1.2,0.5,0.0002700513097488866
20.0,0.4,0.0
6.0,0.4,0.0
50.0,0.9,0.0
12.0,0.9,0.0
50.0,0.4,0.0
1.2,0.99,0.0
20.0,0.99,0.0
1.2,0.9,0.0
12.0,0.95,0.0
inf,0.6,0.0
6.0,0.95,0.0
20.0,0.95,0.0
50.0,0.8,0.0
3.0,0.9,0.0
50.0,0.99,0.0
1.2,0.95,0.0
inf,0.8,0.0
12.0,0.5,0.0
6.0,0.99,0.0
inf,0.4,0.0
50.0,0.95,0.0
20.0,0.5,0.0
20.0,0.8,0.0
50.0,0.6,0.0
6.0,0.8,0.0
12.0,0.4,0.0
3.0,0.95,0.0
inf,0.99,0.0
6.0,0.6,0.0
12.0,0.99,0.0
12.0,0.8,0.0
1.8,0.99,0.0
1.8,0.9,0.0
inf,0.5,0.0
20.0,0.9,0.0
1.8,0.95,0.0
inf,0.95,0.0
50.0,0.5,0.0
12.0,0.6,0.0
6.0,0.9,0.0
6.0,0.5,0.0
inf,0.9,0.0
20.0,0.6,0.0
3.0,0.99,0.0
